Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Opal White Pearl Effect,Titan Black,All-wheel Drive,22–31,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVWTR7AN7PE011628,V30388,6 mi.,2023 Volkswagen Arteon 2.0T SEL Premium R-Line,48891.0,$,https://www.cars.com/vehicledetail/b1ae7fe4-17da-4ec0-a079-13014de0c6a9/
Scarlet Ember,Charcoal,Front-wheel Drive,–,Gasoline,Automatic CVT,1.6L 4 Cyl. 16V DOHC,3N1CP5CV4RL474324,N24045,6 mi.,2024 Nissan Kicks SV,24835.0,$,https://www.cars.com/vehicledetail/aaec6945-f817-4578-a24f-a5d06ca0b23d/
White,Black / Red,Front-wheel Drive,27–37,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E58NH473770,P2111,"12,339 mi.",2022 Honda Civic Si Base,29142.0,$,https://www.cars.com/vehicledetail/ba839481-7be7-4c46-a01e-56052e107261/
Skyscraper Gray Metallic,Black,All-wheel Drive,23–32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA13BJ03PWY20776,PWY20776,7 mi.,2023 BMW 530 i xDrive,61735.0,$,https://www.cars.com/vehicledetail/22d057a8-c049-400f-b338-c653253442a7/
Summit White,Jet Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,1GT59LE73RF169202,X5471,0 mi.,2024 GMC Sierra 2500 Pro,51155.0,$,https://www.cars.com/vehicledetail/74baaf7c-3bab-40ed-8c66-b61c108db4aa/
Green,Saddle Brown,All-wheel Drive,18–25,Gasoline,8-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo,WP0AF2A77JL142355,27831,"36,185 mi.",2018 Porsche Panamera Turbo,84400.0,$,https://www.cars.com/vehicledetail/f6a87d3c-bf36-429f-a682-9f2e9b24c4ef/
White,Jet Black,All-wheel Drive,22–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,3GNKBJRS5PS192393,23T0623,15 mi.,2023 Chevrolet Blazer 3LT,48425.0,$,https://www.cars.com/vehicledetail/58521c20-4f7c-461b-b21c-99ad972921c5/
Heather Gray Metallic,Black,Front-wheel Drive,–,Hybrid,1-Speed Automatic,1.5L I4 16V GDI DOHC Hybrid,1G1RA6S5XHU136553,KBB3198,"28,415 mi.",2017 Chevrolet Volt LT,18951.0,$,https://www.cars.com/vehicledetail/63034ff6-602e-4b6e-a0f8-31363780a39e/
Lime,Black,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEPU5JR5P6122563,P6122563,"11,508 mi.",2023 Toyota 4Runner TRD Off Road,45953.0,$,https://www.cars.com/vehicledetail/36e5c5d9-fcb6-4880-995e-bdd531b4c43d/
Summit White,Jet Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,1GT39LE71RF159730,324029,175 mi.,2024 GMC Sierra 2500 Pro,51655.0,$,https://www.cars.com/vehicledetail/a2dbe036-f097-45c2-9b2e-434fba3c2e6d/
Machine Gray Metallic,White,All-wheel Drive,23–28,Gasoline,8-Speed Automatic,3.3L I6 24V GDI DOHC Turbo,JM3KKEHC2R1130598,M17810,6 mi.,2024 Mazda CX-90 3.3 Turbo S Premium Plus,61920.0,$,https://www.cars.com/vehicledetail/c9a22f35-3e80-411f-927d-8856f483cc88/
Alpine Gray,Red Pepper,All-wheel Drive,13–21,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1KVK8AB1PF012900,M012900,12 mi.,2023 Mercedes-Benz AMG SL 55 Base,161835.0,$,https://www.cars.com/vehicledetail/5a518a98-87c1-48b0-9c8b-c7b83c9d06f1/
Platinum White Pearl,Beige,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB050973,301125,7 mi.,2023 Honda Ridgeline RTL,43110.0,$,https://www.cars.com/vehicledetail/73951ebe-f2f7-409e-9ee6-00987cd015df/
Magnetic Gray Metallic,Saddle Tan,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFMA5DB4PX129139,CT43530,1 mi.,2023 Toyota Tundra 1794 Edition,69908.0,$,https://www.cars.com/vehicledetail/6f1a7a32-4148-46dd-931a-d51b3c9cf871/
Celestial Silver Metallic,Ash,Front-wheel Drive,20–27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDZZRFH2JS238817,TLW2097A,"38,116 mi.",2018 Toyota Highlander LE,26242.0,$,https://www.cars.com/vehicledetail/6f5e9003-9058-448a-b1dc-97aabefd6a55/
Aspen White,Charcoal,Front-wheel Drive,31–36,Gasoline,Automatic CVT,1.6L I4 16V MPFI DOHC,3N1CP5CV0PL557049,2N231228,4 mi.,2023 Nissan Kicks SV,24485.0,$,https://www.cars.com/vehicledetail/709b4a30-6d37-4ad7-81b2-7f6fc19d09c0/
Oxford White,Ebony,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2FMPK4J91RBA13621,0044040F,3 mi.,2024 Ford Edge SEL,44215.0,$,https://www.cars.com/vehicledetail/6b57e902-9525-4aca-b08c-e512f6fe868a/
Volcanic Red,Jet Black,Four-wheel Drive,18–20,Gasoline,Automatic,5.3L V8 16V GDI OHV,3GTUUCED9PG264312,00264312,"1,159 mi.",2023 GMC Sierra 1500 Elevation,64490.0,$,https://www.cars.com/vehicledetail/ceee0366-a3d0-4d46-b710-c20513dfbc37/
White,Orange,–,–,–,Automatic,8,SALLDHAC7BA253620,KB7747,"70,236 mi.",1986 Land Rover Defender ,249887.0,$,https://www.cars.com/vehicledetail/ae93d81e-383f-4f70-a416-9d8bda63f998/
Sizzling Crimson Mica,Black,Four-wheel Drive,13–17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TDJY5G10JS163688,TJS163688,"113,249 mi.",2018 Toyota Sequoia Limited,34489.0,$,https://www.cars.com/vehicledetail/b722aa3b-8a2c-422b-8bda-5b99775ea668/
Dark Sapphire,Imperial Blue,All-wheel Drive,14–21,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAAT2ZV1PC020449,NVA230473,40 mi.,2023 Bentley Bentayga S,267135.0,$,https://www.cars.com/vehicledetail/1f2fbf7c-5a66-44fb-b8ee-80240614e3f1/
Diamond Black,Black,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJKAG0P8815953,LJ990,"2,134 mi.",2023 Jeep Grand Cherokee L Laredo,42085.0,$,https://www.cars.com/vehicledetail/beeec623-175d-4c82-b7bd-b82de404cc0e/
Granite Crystal,Black,Four-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJXN6XRW167745,H21003,3 mi.,2024 Jeep Wrangler 4xe Sport,59120.0,$,https://www.cars.com/vehicledetail/05930694-1ff8-4170-bde5-cf392c2b4762/
Green,Black,Four-wheel Drive,13–17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TFDY5F12MX028371,3254A,"4,396 mi.",2021 Toyota Tundra SR5,47297.0,$,https://www.cars.com/vehicledetail/d076bc3b-41d2-4b24-8d22-1345800739c4/
Dark Blue,Graphite,All-wheel Drive,24–30,Gasoline,Automatic,"VC-Turbo 2L I-4 port/direct injection, DOHC, variable valve cont",3PCAJ5M30KF138614,KF138614,"18,600 mi.",2019 INFINITI QX50 Luxe,28000.0,$,https://www.cars.com/vehicledetail/477166a7-faa2-4a68-857d-849ec813f09f/
Skyscraper Gray Metallic,Black,Rear-wheel Drive,,,1-Speed Automatic,Electric,WBY43AW07PFP57506,B4697U,840 mi.,2023 BMW i4 Gran Coupe eDrive35,49988.0,$,https://www.cars.com/vehicledetail/374880b2-e223-4c83-91d3-e6c00fd29cc6/
Black,Black,All-wheel Drive,16–23,Gasoline,8-Speed Automatic,4.6L V8 32V PDI DOHC,JTHCL5EF5D5016877,68228936,"86,374 mi.",2013 Lexus LS 460 Base,25997.0,$,https://www.cars.com/vehicledetail/331c433b-abf5-4f93-8010-5955eb98d7c2/
White,–,Rear-wheel Drive,22–33,Gasoline,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTHBA1D2XG5001515,R328972B,"109,207 mi.",2016 Lexus IS 200t Base,13990.0,$,https://www.cars.com/vehicledetail/f35530c1-65b5-439f-9392-1d384ef2ba04/
Shadow Black,Ebony,Rear-wheel Drive,14–21,Gasoline,6-Speed Manual,5.2L V8 32V MPFI DOHC,1FA6P8JZ0K5551753,40355A,"2,345 mi.",2019 Ford Shelby GT350 Base,74900.0,$,https://www.cars.com/vehicledetail/b28aa1c5-18a0-4739-a86b-379c83bad2d7/
Onyx Black,Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,1GT59ME71RF226227,N14902,25 mi.,2024 GMC Sierra 2500 SLE,67620.0,$,https://www.cars.com/vehicledetail/e507a290-eafa-4562-a9c1-c5e27144755e/
Area 51,Black Onyx,Four-wheel Drive,–,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5DP9PLB96424,FPLB96424,56 mi.,2023 Ford Bronco ,84785.0,$,https://www.cars.com/vehicledetail/8199f74c-53be-4da9-9826-5f3ed9ed3458/
Urban Gray Pearl,Black,All-wheel Drive,25–30,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ2H58RM727593,Y7015,10 mi.,2024 Honda HR-V Sport,29480.0,$,https://www.cars.com/vehicledetail/9b0473bf-f97d-4b6e-bd16-a2fb902b3405/
HOT TAMALE,–,All-wheel Drive,21–29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,ZACNDFAN6P3A03634,Z3067,10 mi.,2023 Dodge Hornet GT,34172.0,$,https://www.cars.com/vehicledetail/495012db-828d-4c35-a0b3-bb7d566671ff/
Oxford White,Ebony,Rear-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FTYE1YG5PKB50955,46427,13 mi.,2023 Ford Transit-150 BASE,64055.0,$,https://www.cars.com/vehicledetail/f9106085-b249-41b0-8e50-4b511e32c43d/
Gray,Black,Four-wheel Drive,15–21,E85 Flex Fuel,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,1FTEW1EF7GFB75859,116803B,"159,352 mi.",2016 Ford F-150 Platinum,19900.0,$,https://www.cars.com/vehicledetail/c452cf3c-62dc-4332-9d21-095c84eb0138/
Blue,–,All-wheel Drive,,,1-Speed Automatic,Electric,1FT6W1EV6PWG25464,23T197,–,2023 Ford F-150 Lightning LARIAT,74075.0,$,https://www.cars.com/vehicledetail/2af4c3b8-e9fd-4134-9de1-653f774d7fbc/
Portofino Blue Metallic,Caraway/Ebony,Four-wheel Drive,19–25.0,Gasoline,Automatic,"Ingenium 3L I-6 gasoline direct injection, DOHC, CVVL variable v",SALRM4EU0P2483950,R23302,6 mi.,2023 Land Rover Discovery P360 HSE R-Dynamic,79990.0,$,https://www.cars.com/vehicledetail/cc972308-86d6-473d-87ff-20119fd12585/
Patriot Blue Pearlcoat,Black,Four-wheel Drive,19–24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFFT0PN691862,42052,10 mi.,2023 RAM 1500 Big Horn,49261.0,$,https://www.cars.com/vehicledetail/619b6900-292a-4218-96f9-c2a9761491c8/
Oxford White,Medium Earth Gray,Rear-wheel Drive,20–25,E85 Flex Fuel,6-Speed Automatic,3.3L V6 24V PDI DOHC Flexible Fuel,1FTEW1CB4JKF75182,JA5182J,"135,660 mi.",2018 Ford F-150 XLT,18881.0,$,https://www.cars.com/vehicledetail/770a80bb-1335-4bc3-81de-abb957d76c50/
Majestic Black Pearl,Ebony,All-wheel Drive,17–21,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,5J8YD8H89PL004445,A14995,2 mi.,2023 Acura MDX Type S w/Advance Package,71245.0,$,https://www.cars.com/vehicledetail/b3f80533-be1f-424b-b777-aabd74b5ee6c/
Bright White Clearcoat,Global Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJHBG6N8610202,P2447,"1,475 mi.",2022 Jeep Grand Cherokee Limited,40132.0,$,https://www.cars.com/vehicledetail/ca426d21-fbfd-4204-aca4-00eb3056be0e/
Arctic Gray Metallic,Black,All-wheel Drive,21–25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C01M9G43798,B4328T,"35,429 mi.",2021 BMW X5 xDrive40i,50999.0,$,https://www.cars.com/vehicledetail/55524478-0bd3-4a30-a514-67f8c62aa5d0/
Ruby Flare Pearl,Boulder,All-wheel Drive,40–37,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTEAAAAH9PJ148143,231715,0 mi.,2023 Toyota Venza Limited,45564.0,$,https://www.cars.com/vehicledetail/70d60e88-c706-4258-8496-3b540b086534/
Polar White,–,All-wheel Drive,21–28,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDC0G8EBXLF743815,28105,"38,615 mi.",2020 Mercedes-Benz GLC 300 Base 4MATIC,32477.0,$,https://www.cars.com/vehicledetail/607a2dc7-038c-4a9e-bf27-edc3a83ab7bd/
Osmium Gray Metallic,Blond,All-wheel Drive,21–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,LVYA22MK4LP163860,VP1385259T,"23,829 mi.",2020 Volvo S90 T6 Momentum,34893.0,$,https://www.cars.com/vehicledetail/558b20a1-084f-43a0-a3b2-066b11c06298/
Black,Black,Front-wheel Drive,22,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,4T1KZ1AKXMU057241,15049,"39,906 mi.",2021 Toyota Camry TRD V6,31587.0,$,https://www.cars.com/vehicledetail/5624d9a4-65c7-4ac9-b461-9074272453fa/
Iridescent Pearl Tricoat,Jet Black/Mocha,Four-wheel Drive,14–18,Gasoline,Automatic,"EcoTec3 6.2L V-8 gasoline direct injection, variable valve contr",1GNSKTKL6PR504660,23U263,2 mi.,2023 Chevrolet Tahoe 4WD High Country,85620.0,$,https://www.cars.com/vehicledetail/be3f4a3e-01d3-4748-8885-602d73d1fc75/
Iridium,Black,All-wheel Drive,25–34,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,58AD11D11PU012057,PU012057,12 mi.,2023 Lexus ES 250 Base,48225.0,$,https://www.cars.com/vehicledetail/a96ab1bb-00b4-44ad-9bd4-ccc94a80a8a8/
Uyuni White,Vanilla,All-wheel Drive,22–30,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC Turbo,KMTGB4SC4RU202998,G607,26 mi.,2024 Genesis G80 2.5T,60995.0,$,https://www.cars.com/vehicledetail/a953a0bb-cd57-41bc-a474-036cdd75f974/
Sunset Orange,Black,Front-wheel Drive,26–33,Gasoline,6-Speed Manual,1.6L I4 16V GDI DOHC Turbo,KMHTH6AB4KU005492,25190W,"47,869 mi.",2019 Hyundai Veloster Turbo R-Spec,16997.0,$,https://www.cars.com/vehicledetail/44068994-2164-4381-a650-03a60a4793b6/
Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,17–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJXAG2PW649892,14649892,–,2023 Jeep Wrangler Sport,39995.0,$,https://www.cars.com/vehicledetail/2622486b-1b52-4b98-9112-352f6abbb9dd/
Platinum Gray Metallic,Mauro Brown,All-wheel Drive,19–25,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1V2BR2CA6RC518350,V8953,10 mi.,2024 Volkswagen Atlas 2.0T SEL,48460.0,$,https://www.cars.com/vehicledetail/4949b17f-11bb-4100-bd95-2f993d380d10/
Ebony Twilight Metallic,Ebony Seats Interior,Front-wheel Drive,28–32,Gasoline,6-Speed Automatic,"Ecotec 1.2L I-3 gasoline direct injection, DOHC, variable valve",KL47LAE24RB027753,B240008,10 mi.,2024 Buick Envista Preferred,23990.0,$,https://www.cars.com/vehicledetail/cf63ca65-7941-4d03-821b-a5c58fc8b45f/
Black Raven,Jet Black,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4GKL9PR516242,PR516242,5 mi.,2023 Cadillac Escalade Sport Platinum,114440.0,$,https://www.cars.com/vehicledetail/42ef3a5f-955f-4144-8e9a-d334a21c15f6/
Marina Bay Blue Metallic,Black,All-wheel Drive,17–22,Hybrid,Automatic,Twin Turbo Gas/Electric V-8 4.4 L/268,5UX33EU08R9S94234,L24071,"2,487 mi.",2024 BMW X5 M60i,102495.0,$,https://www.cars.com/vehicledetail/bc632841-9664-4984-89d2-2980af58109e/
Patriot Blue Pearlcoat,Black,Four-wheel Drive,18–22,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT7RN119283,RN119283,15 mi.,2024 RAM 1500 Limited,68290.0,$,https://www.cars.com/vehicledetail/5de42d13-f3a0-49e5-bc73-6494e86fec11/
Pacific Pewter Metallic,Black,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79MB002288,MB002288,"30,210 mi.",2021 Honda Odyssey EX-L,33999.0,$,https://www.cars.com/vehicledetail/6770dbae-518e-417c-9a8d-4e6530cce22c/
Santorini Black,Ebony / Ebony,All-wheel Drive,18–23,Gasoline,Automatic,V6,SADCM2FV0LA651504,2J3066B,"48,609 mi.",2020 Jaguar F-PACE S,38995.0,$,https://www.cars.com/vehicledetail/8be986a7-12d5-4d23-8a74-5368ce367561/
Natural White,Ivory,Four-wheel Drive,13–17,Gasoline,5-Speed Automatic,4.7L V8 32V MPFI DOHC,JTEHT05J762081678,62081678,"245,394 mi.",2006 Toyota Land Cruiser ,8822.0,$,https://www.cars.com/vehicledetail/55bfbc13-2a73-44d3-a16a-f3e8e1f1e3b7/
Barcelona Red Metallic,Light Gray,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.8L I4 16V MPFI DOHC,JTDEPRAE3LJ086242,36049,"71,027 mi.",2020 Toyota Corolla LE,18750.0,$,https://www.cars.com/vehicledetail/2e33ce13-6e14-4b42-b7b4-8a838d953722/
Summit White,Jet Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,1GT59LE76RF195194,RF195194,7 mi.,2024 GMC Sierra 2500 Pro,55265.0,$,https://www.cars.com/vehicledetail/97453647-5a19-4f2f-a8fe-7ffa71ce9d0b/
Summit White,Jet Black,Four-wheel Drive,15–19,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GNSKFKL3PR409832,PR409832,12 mi.,2023 Chevrolet Suburban Premier,95060.0,$,https://www.cars.com/vehicledetail/c216c69f-6c21-47d6-af87-44febc904a40/
Blue,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB060105,P6047,"14,394 mi.",2022 Honda Pilot Special Edition,39000.0,$,https://www.cars.com/vehicledetail/81123716-d7c9-48ab-8a73-9f811693911b/
Billet Silver Metallic Clearcoat,Black,Four-wheel Drive,21–29,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT4PN601772,A601772,5 mi.,2023 RAM 1500 Limited,70620.0,$,https://www.cars.com/vehicledetail/b2e82d30-9ac9-4232-9039-060764159e04/
Metallic,Global Black,Four-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYB69RC681436,240285,0 mi.,2024 Jeep Grand Cherokee 4xe Base,62255.0,$,https://www.cars.com/vehicledetail/1354802e-8a6d-4682-b416-ee256adb1912/
Nautical Blue Metallic,Brown,All-wheel Drive,21–30,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1KZF8EB5PB172480,M72480,12 mi.,2023 Mercedes-Benz E-Class E 350 4MATIC,68050.0,$,https://www.cars.com/vehicledetail/96f44bb3-c031-45ef-ad57-7fdfec1cc93d/
Black,–,All-wheel Drive,22–30,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1N4M4HB0PW271062,22K-3984,"6,194 mi.",2023 Mercedes-Benz GLB 250 Base 4MATIC,49225.0,$,https://www.cars.com/vehicledetail/423c5983-d9f0-43d9-97aa-a27758a5cd0a/
Blue,–,All-wheel Drive,34–30,Hybrid,Variable,Gas/Electric I-4 2.5 L/152,JTMDJREV6JD193076,U27073,"36,986 mi.",2018 Toyota RAV4 Hybrid Limited,26995.0,$,https://www.cars.com/vehicledetail/a63934b8-0560-4efe-a358-066ecfd9f6ba/
Blue Passione Metallic,Cuoio,All-wheel Drive,16–23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,ZAM56YRA9K1310719,BCM1803,"49,864 mi.",2019 Maserati Quattroporte S Q4,38805.0,$,https://www.cars.com/vehicledetail/02290904-dcf7-4e25-b692-72abc2a7af3e/
Silver,–,Rear-wheel Drive,18–22,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEZU14R770091168,R379245B,"201,210 mi.",2007 Toyota 4Runner SR5,7990.0,$,https://www.cars.com/vehicledetail/427bac43-f8dd-4fed-a7f4-d9652cc4a796/
Crystal White Pearl,Black,All-wheel Drive,21–27,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMAAD9K3420410,739136A,"77,162 mi.",2019 Subaru Ascent Base 8-Passenger,22490.0,$,https://www.cars.com/vehicledetail/32561bee-751b-4a6a-b489-f91d4b8f2c7c/
Diamond Black,Black,Four-wheel Drive,–,Diesel,Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C63R3ML2PG624162,DTR24162,73 mi.,2023 RAM 3500 Laramie,92818.0,$,https://www.cars.com/vehicledetail/cbf0ca99-d785-47cf-9fa2-0f1d91d44161/
Jet Black Mica,Black W/ Brown,All-wheel Drive,24–30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,7MMVABEM1RN162990,RN162990,30 mi.,2024 Mazda CX-50 2.5 S Premium Plus Package,38875.0,$,https://www.cars.com/vehicledetail/612f7d35-9fbf-4708-8928-4f71936497ea/
Silver Sky Metallic,Black,Front-wheel Drive,27–34,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3C1RFV7PC250957,PC250957,12 mi.,2023 Toyota RAV4 XLE Premium,36074.0,$,https://www.cars.com/vehicledetail/338e1572-58a2-43b9-b5e3-6a4089ee2291/
Blue,Dark Charcoal,Rear-wheel Drive,17–25,Gasoline,5-Speed,4.6L V8 24V MPFI SOHC,1ZVFT82H555222513,C1550,"55,064 mi.",2005 Ford Mustang GT Premium,14989.0,$,https://www.cars.com/vehicledetail/12ddbee7-7e5c-44a6-8c98-e27219c0ca3a/
Summit White,Jet Black w/Jet Black Accents,Rear-wheel Drive,18–27,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,",1G6DV5RW6P0102729,44535A,"7,602 mi.",2023 Cadillac CT5-V V-Series,58783.0,$,https://www.cars.com/vehicledetail/226044c6-cca2-4470-89f5-b3e270cf0b64/
Gloss Black,Linen/Black,All-wheel Drive,18–27,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",2C3CCASG8PH577664,2D008,79 mi.,2023 Chrysler 300 Touring,47545.0,$,https://www.cars.com/vehicledetail/7500a54d-3e11-4078-ad4e-c46c8409eea5/
Boulder Gray Metallic,Steel,Four-wheel Drive,–,Gasoline,Automatic,3.8L V6 24V DOHC,1N6ED1EK8RN607559,RN607559,14 mi.,2024 Nissan Frontier PRO-4X,48915.0,$,https://www.cars.com/vehicledetail/3bea7c19-4355-4c30-9d8b-7a744a4dbdd2/
Osmium Grey Metallic,Charcoal,All-wheel Drive,20–25,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22PL9G1026043,XV9368B,"95,273 mi.",2016 Volvo XC90 T6 Inscription,23888.0,$,https://www.cars.com/vehicledetail/de83a264-fb7f-462a-94af-9ee2dcf96aca/
Red,Black,Four-wheel Drive,15–20,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,1N6AA1E54KN516618,LD06122P,"49,471 mi.",2019 Nissan Titan PRO-4X,35028.0,$,https://www.cars.com/vehicledetail/2ce45876-ce93-4997-868b-5a6b253c83bb/
Grecian Water,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.4L I4 16V PDI DOHC Turbo,2T2BAMCA1PC032209,Q32209,0 mi.,2023 Lexus RX 350 F SPORT Handling,66787.0,$,https://www.cars.com/vehicledetail/e701b525-1f33-4dd9-b4e9-6e5df2630c6a/
Crystal Black Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F26NA012276,ANA012276,"49,608 mi.",2022 Honda Accord Hybrid Sport,26357.0,$,https://www.cars.com/vehicledetail/4c4bd283-4ce0-4b95-a92a-0ee403867499/
Performance Red Pearl,Ebony,All-wheel Drive,19–25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YE1H0XPL009474,PL009474,"9,827 mi.",2023 Acura MDX A-Spec,51076.0,$,https://www.cars.com/vehicledetail/2b6a7cd7-2e57-43ce-a2f2-a585ed672250/
Gray,Chateau,All-wheel Drive,18–27,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,JTHC51FF0K5006482,22002,"41,604 mi.",2019 Lexus LS 500 Base,46995.0,$,https://www.cars.com/vehicledetail/8c96867d-631a-4a49-9c52-1bd78a3893a2/
Tanzanite Blue II Metallic,Tartufo,All-wheel Drive,16–21,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5UX33EM04R9U17009,F2422200,4 mi.,2024 BMW X7 M60i,123610.0,$,https://www.cars.com/vehicledetail/c7714008-f7b5-4972-95d6-6173402b8d42/
Summit White,Jet Black,Rear-wheel Drive,15–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GNSCSKD2PR462889,PR462889,2 mi.,2023 Chevrolet Tahoe Premier,73080.0,$,https://www.cars.com/vehicledetail/cc741047-db20-40ce-ba32-8d46ecc267fa/
Magnetite Gray Metallic,Black,All-wheel Drive,21–27,Gasoline,6-Speed Manual,2.0L H4 16V GDI DOHC Turbo,JF1VA1J66L9817684,N17748TC,"49,630 mi.",2020 Subaru WRX Limited,25900.0,$,https://www.cars.com/vehicledetail/8fe619b4-eb9d-4369-ae7a-2b31b852564d/
Ebony Black,Black,All-wheel Drive,22–27,Gasoline,Automatic,"2.5L I-4 port/direct injection, DOHC, variable valve control, in",5XYRKDLF4PG231738,K4948,6 mi.,2023 Kia Sorento SX,47290.0,$,https://www.cars.com/vehicledetail/a7802a00-5456-48db-ad50-889ac69d8fa5/
Silver,–,Rear-wheel Drive,15–20,Gasoline,–,4.0L H6 24V GDI DOHC,WP0AC2A90JS174497,213320,"2,132 mi.",2018 Porsche 911 GT3,200000.0,$,https://www.cars.com/vehicledetail/34977dc1-a986-4e51-855c-76a13e2d71c9/
